region,export_q1,export_q2,export_q3,export_q4,import_q1,import_q2,import_q3,import_q4
Paraguay,2671,2784,2738,2710,1805,2165,1740,1747
Peru,9505,9794,9793,9562,12617,12465,13189,11971
Sint Maarten,242,177,176,332,33,24,19,32
St. Kitts & Nevis,107,89,82,87,44,20,18,21
St. Lucia,554,566,351,582,26,18,19,21
St. Vincent & Grenadines,92,91,91,88,47,19,86,32
Suriname,323,346,311,320,544,551,659,629
Trinidad & Tobago,1434,1496,1514,1328,3422,3080,3515,3259
Uruguay,3625,3906,3837,3368,2429,2656,2680,2645
Venezuela,2944,2665,2678,3065,8150,8371,9820,9034
Cuba,1918,2061,1901,2199,380,568,592,487
North Korea,452,614,751,810,107,178,205,213
